Source,Target,Weight
39923176,68046216,2
39923176,66871728,2
49695607,17163720,1
3698588,23096959,3
22993377,22660201,1
29261473,29329884,1
50224698,65431553,2
8858446,7357595,7
3035586,1446467,1
7357595,8858446,1
32737992,53492012,2
32737992,53658916,1
51862718,11589713,1
23083156,20929025,1
3678731,31077672,1
10097543,8604178,3
34302698,11061773,2
49386559,2189967,1
7954168,4164482,1
14159669,3623050,1
66509131,20580498,6
59488267,59489782,1
40686014,23096959,1
3214406,17979442,2
67763937,49453413,1
41690044,41690093,1
65413483,26509369,1
7691631,20580498,1
59383148,7691631,1
15090814,108278,1
65431553,50224698,1
67070359,19866730,1
22254856,7825571,1
45091124,20929025,1
35791664,4128353,1
21233191,23096959,1
60874241,65231124,1
62091339,20580498,4
29455960,10851820,2
34505683,32453839,1
68046216,66871728,1
11178020,6567216,1
48237006,65252,1
5561585,6829204,1
671825,46565708,3
34383946,27744075,1
27744075,34383946,1
2504560,1695405,1
24441159,46636443,1
9325315,46964719,1
67989223,66740566,1
50657250,35882519,5
41478768,40403310,1
21144543,20484506,1
62340865,19483273,1
2878641,106310,1
42878787,13779937,1
321278,560495,1
24609401,23992530,1
66871728,39923176,2
5532320,5239185,1
24612415,5474834,2
63537249,31077672,1
45873864,6749378,2
36371959,16180304,1
8135462,40135191,1
32895424,53369484,1
41884952,26505295,1
4709434,8763586,6
46283752,18845024,1
38273403,35640229,1
943149,57910253,2
7467217,3342055,1
53344710,53438969,3
28964450,28972890,2
31829770,24195339,1
54645022,36891867,1
56064459,1380117,1
44045057,24195339,1
46835599,11617504,2
67763937,45205350,2
68465360,1446467,1
51556828,23096959,2
26634225,14131914,1
65245908,873328,2
67527666,60637206,5
10045175,9325315,2
33653601,60374819,1
20580498,27729907,1
47540830,31492490,1
45687347,41690081,3
32761680,11167738,1
29309660,48006145,1
51452356,321278,1
44370739,15221515,1
37489525,21923259,1
51957189,38460192,11
40037231,38460192,22
39965719,38460192,1
34965552,9384267,1
25312492,1090311,1
4106792,52855516,2
45975112,47515815,1
34812687,34079386,1
34079386,34812687,1
48644547,13078968,1
23389720,44803669,2
673201,4164482,1
59909973,47903333,4
21923259,37489525,1
56760633,54432168,1
28796010,7691631,2
38962730,46802649,1
59522149,22855240,1
32654500,24195339,1
20636942,10270250,1
488514,168370,1
34986469,56027663,1
66557910,3638964,1
56275820,40148684,4
33933892,52855516,1
56723754,32247847,2
58184885,20580498,2
2008728,8241100,1
50379867,37874304,1
66392879,13221727,1
29028775,51452356,1
36837280,15350898,4
66643519,55723051,3
5839692,32219142,1
10975056,10126908,2
21591001,21633655,1
33664893,33401957,1
